,Unnamed: 0.1,Unnamed: 0,branch,product_details,amount,amount_mdl,maturity_months,ir,eir,grace_period,montly_payment,repayment_schedule,guarantees,amount_pledge,ages_of_borrower,social_status,background,urban/rural,type_client_new/repeated,date_disbursement,gender,economic_sector,oustanding_amount,client/credit_segment_retail_micro_sme,experience_in_business_years,other_debts_to_banks_non,annual_sales_volume_mdl,annual_profit_mdl,amount_of_loans_paid_monthly,debt_service_ratio_%,assets_according_to_bs_for,equity_according_to_bs_for,net_profit_acc_to_bs,days_in_arrears_acc_to,how_many_loans_acc_to,duration_of_credit_history_since,existence_of_debt_collection_files/criminal,assets_according_to_public_service,target,Currency,Interest Rate,Inflation Rate,Food Inflation,Consumer Price Index CPI,Balance of Trade,Wages,Unemployment Rate,Remittances,GDP Growth Rate,Current Account,GDP,Government Budget
0,0,0,drochia,rapid_loan_75_001_150000_mdl,60000,60000,24,20.0,34.1928,0.0,3363.61,fixed,guarantor,0.0,66,married,school,rural,new,2019-03-06,female,commerce,0,micro,10.0,30000.0,510000.0,83748,3364,50,,,,0,1.0,45,0,,1,16.9832,16.9832,16.9832,16.9832,16.9832,16.9832,16.9832,16.9832,16.9832,16.9832,16.9832,16.9832,16.9832
1,1,1,balti,rapid_loan_<=75_000_mdl,15000,15000,12,25.0,43.8648,0.0,1511.67,fixed,guarantor,0.0,31,married,school,urban,new,2019-05-08,female,commerce,0,micro,3.0,7958.0,468000.0,116028,3512,0.36,,,,3,1.0,34,0,0.0,1,17.852,17.852,17.852,17.852,17.852,17.852,17.852,17.852,17.852,17.852,17.852,17.852,17.852
2,2,2,balti,rapid_loan_<=75_000_mdl,15000,15000,8,25.0,43.8,0.0,2161.56,fixed,no_collateral,0.0,33,married,school,urban,repeated,2020-08-19,female,commerce,0,micro,4.0,3701.4,468000.0,126125.76,3007.1,0.29,,,,1,1.0,50,0,0.0,1,16.425,16.425,16.425,16.425,16.425,16.425,16.425,16.425,16.425,16.425,16.425,16.425,16.425
3,3,3,ungheni,rapid_loan_75_001_150000_mdl,65000,65000,36,20.0,32.8248,0.0,2760.76,floating,guarantor,0.0,57,married,school,urban,repeated,2023-11-17,male,commerce,55346.49,micro,10.0,149025.0,624000.0,155604,7261,74,,,,4,1.0,1,0,0.0,1,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7
4,4,4,balti,rapid_loan_75_001_150000_mdl,150000,150000,30,28.0,40.2156,0.0,7630.35,floating,guarantor,0.0,41,married,school,rural,new,2023-03-31,male,agriculture,89588.88,small,5.0,0.0,575000.0,159840,6364,0.4778,,,,0,0.0,57,0,0.0,1,11486.2,11486.2,11486.2,11486.2,11486.2,11486.2,11486.2,11486.2,11486.2,11486.2,11486.2,11486.2,11486.2
5,5,5,comrat,rapid_loan_75_001_150000_mdl,70000,70000,24,20.0,34.6308,0.0,3939.78,fixed,guarantor,0.0,45,married,post_secondary,rural,new,2019-01-11,male,other,0,micro,20.0,21112.0,394500.0,257300,7120,33,,,,0,1.0,104,0,0.0,1,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
6,6,6,balti,rapid_loan_75_001_150000_mdl,60000,60000,22,25.0,34.3956,8.0,10718.44,floating,guarantor,0.0,59,married,post_secondary,rural,repeated,2023-01-25,male,agriculture,31497.1,micro,25.0,56000.0,1068216.0,284160,7876,33,489114.0,194854.0,56937.0,0,1.0,26,0,0.0,1,271.4,271.4,271.4,271.4,271.4,271.4,271.4,271.4,271.4,271.4,271.4,271.4,271.4
7,7,7,balti,rapid_loan_75_001_150000_mdl,90000,90000,36,23.0,35.8332,0.0,3969.83,floating,guarantor,0.0,44,married,school,rural,repeated,2024-03-11,female,agriculture,85099.27,micro,7.0,2468812.06,2478600.0,766886,116799,0.6463,,,,13,14.0,73,0,2638002.03,1,21.98,21.98,21.98,21.98,21.98,21.98,21.98,21.98,21.98,21.98,21.98,21.98,21.98
8,8,8,cahul,rapid_loan_75_001_150000_mdl,100000,100000,24,20.0,33.5304,3.0,5996.18,fixed,guarantor,0.0,30,married,post_secondary,urban,new,2020-03-11,female,services,0,micro,20.0,321813.0,305061.0,281061,16257,69,,,-68342.0,0,3.0,67,0,0.0,1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1
9,9,9,balti,rapid_loan_<=75_000_mdl,20000,20000,12,25.0,37.6992,4.0,3130.16,fixed,guarantor,0.0,45,married,school,rural,repeated,2019-11-19,female,agriculture,0,micro,13.0,23557.0,191000.0,114700,4238,0.44,,,,0,1.0,71,0,0.0,1,22.19,22.19,22.19,22.19,22.19,22.19,22.19,22.19,22.19,22.19,22.19,22.19,22.19
10,10,10,balti,rapid_loan_75_001_150000_mdl,100000,100000,36,25.0,35.73,4.0,6878.06,floating,guarantor,0.0,48,married,school,rural,repeated,2022-11-17,female,agriculture,62410.33,micro,17.0,16860.0,429840.0,156196,7270,0.3584,,,,4,1.0,95,0,0.0,1,-545.41,-545.41,-545.41,-545.41,-545.41,-545.41,-545.41,-545.41,-545.41,-545.41,-545.41,-545.41,-545.41
11,11,11,balti,rapid_loan_75_001_150000_mdl,90000,90000,24,20.0,31.9056,0.0,5351.95,fixed,guarantor,0.0,48,divorced,school,urban,repeated,2020-02-20,male,commerce,0,micro,5.0,440365.0,1068000.0,366262,24210,0.79,,,,4,1.0,103,0,0.0,0,3964.54,3964.54,3964.54,3964.54,3964.54,3964.54,3964.54,3964.54,3964.54,3964.54,3964.54,3964.54,3964.54
12,12,12,chisinau_strcalea_iesilor,rapid_loan_75_001_150000_mdl,100000,100000,24,20.0,34.4868,0.0,5620.95,fixed,guarantor,0.0,32,married,higher,urban,new,2020-11-04,male,services,0,micro,0.0,0.0,0.0,0,5620.94,0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,-436.2,-436.2,-436.2,-436.2,-436.2,-436.2,-436.2,-436.2,-436.2,-436.2,-436.2,-436.2,-436.2
13,13,13,balti,rapid_loan_<=75_000_mdl,26000,26000,24,25.0,39.0264,7.0,1522.04,fixed,guarantor,0.0,39,cohabitation,higher,urban,new,2019-07-22,female,services,0,micro,10.0,99324.0,8895.0,3560,3560,0.65,,,,0,3.0,55,0,0.0,1,18.2515,18.2515,18.2515,18.2515,18.2515,18.2515,18.2515,18.2515,18.2515,18.2515,18.2515,18.2515,18.2515
14,14,14,edinet,rapid_loan_75_001_150000_mdl,80000,80000,24,20.0,33.3672,0.0,4571.2,fixed,guarantor,0.0,46,married,lyceum,rural,new,2020-02-06,female,agriculture,0,micro,,60032.0,421200.0,218508,8969,54,,,,0,2.0,24_luni,0,0.0,1,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
15,15,15,soroca,rapid_loan_<=75_000_mdl,30000,30000,12,25.0,36.5532,0.0,3007.06,fixed,guarantor,0.0,33,married,school,rural,new,2021-10-20,male,agriculture,0,micro,25.0,26058.0,156600.0,111800,3978,43,,,,0,3.0,38,0,0.0,1,18.74,18.74,18.74,18.74,18.74,18.74,18.74,18.74,18.74,18.74,18.74,18.74,18.74
16,16,16,balti,rapid_loan_<=75_000_mdl,25000,25000,24,24.0,38.1144,0.0,1451.7,fixed,guarantor,0.0,27,married,school,rural,new,2021-09-21,female,agriculture,0,micro,7.0,199432.84,287800.0,253804.42,6371.08,0.3,,,,0,0.0,0,0,0.0,1,17.58,17.58,17.58,17.58,17.58,17.58,17.58,17.58,17.58,17.58,17.58,17.58,17.58
17,17,17,cahul,rapid_loan_75_001_150000_mdl,75000,75000,7,20.0,35.67,0.0,21245.31,fixed,guarantor,0.0,40,married,lyceum,urban,new,2022-04-18,male,agriculture,0,micro,5.0,8060.0,128500.0,56500,3070,65,,,,0,2.0,62,0,0.0,1,17.347,17.347,17.347,17.347,17.347,17.347,17.347,17.347,17.347,17.347,17.347,17.347,17.347
18,18,18,edinet,rapid_loan_<=75_000_mdl,21000,21000,24,25.0,39.696,1.0,1236.64,fixed,guarantor,0.0,48,married,lyceum,rural,new,2019-06-11,male,agriculture,0,micro,,,,,6256,66,,,,0,4.0,32_luni,0,62143.0,1,17.3475,17.3475,17.3475,17.3475,17.3475,17.3475,17.3475,17.3475,17.3475,17.3475,17.3475,17.3475,17.3475
19,19,19,chisinau_str._puskin,rapid_loan_75_001_150000_mdl,65000,65000,12,20.0,39.0828,0.0,6398.52,fixed,collateral,65000.0,47,single,lyceum,urban,new,2021-05-07,female,services,0,micro,26.0,465764.0,1140000.0,474000,23990,61,,,,0,12.0,146,0,0.0,1,19.05,19.05,19.05,19.05,19.05,19.05,19.05,19.05,19.05,19.05,19.05,19.05,19.05
20,20,20,soroca,rapid_loan_75_001_150000_mdl,60000,60000,36,22.0,34.5732,0.0,2605.19,floating,guarantor,0.0,45,married,higher,rural,new,2022-08-16,male,services,28173.45,micro,3.0,718851.0,1596000.0,368508,18138,59,,,,0,4.0,15,0,,1,17.646,17.646,17.646,17.646,17.646,17.646,17.646,17.646,17.646,17.646,17.646,17.646,17.646
21,21,21,chisinau_strcalea_iesilor,rapid_loan_75_001_150000_mdl,60000,60000,12,20.0,39.102,0.0,5906.87,fixed,guarantor,0.0,24,married,post_secondary,urban,new,2020-11-26,male,services,0,micro,1.0,4991.0,276000.0,180000,7631.86,50.88,,,,0,1.0,0,0,0.0,1,17.0755,17.0755,17.0755,17.0755,17.0755,17.0755,17.0755,17.0755,17.0755,17.0755,17.0755,17.0755,17.0755
22,22,22,balti,rapid_loan_<=75_000_mdl,15000,15000,12,25.0,42.1824,0.0,1499.27,fixed,guarantor,0.0,40,married,school,urban,new,2019-10-25,female,services,0,micro,10.0,3800.0,720000.0,480000,1500,0.03,,,,0,0.0,0,0,0.0,1,17.4175,17.4175,17.4175,17.4175,17.4175,17.4175,17.4175,17.4175,17.4175,17.4175,17.4175,17.4175,17.4175
23,23,23,soroca,rapid_loan_<=75_000_mdl,30000,30000,12,25.0,45.4848,0.0,3047.28,floating,guarantor,0.0,29,married,higher,rural,new,2022-08-18,female,commerce,0,micro,6.0,11269.73,1822284.0,138336,6625,57,,,86539.0,60+,3.0,70,2,,1,17.375,17.375,17.375,17.375,17.375,17.375,17.375,17.375,17.375,17.375,17.375,17.375,17.375
24,24,24,cahul,rapid_loan_<=75_000_mdl,50000,50000,7,25.0,41.6712,0.0,28028.58,fixed,no_collateral,0.0,49,married,school,rural,new,2022-09-29,male,agriculture,0,micro,20.0,597.0,169400.0,91600,8258,0.44,,,,20,1.0,48,2,160000.0,1,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3
25,25,25,cahul,rapid_loan_<=75_000_mdl,15500,15500,8,25.0,36.3336,0.0,4536.92,floating,no_collateral,0.0,50,married,school,rural,repeated,2024-02-27,male,agriculture,15500,micro,22.0,7423.0,411670.0,260415,2185,0.11,,,,20,1.0,72,2,200000.0,1,17.525,17.525,17.525,17.525,17.525,17.525,17.525,17.525,17.525,17.525,17.525,17.525,17.525
26,26,26,drochia,rapid_loan_<=75_000_mdl,10000,10000,4,25.0,61.6656,0.0,2687.76,fixed,guarantor,0.0,66,married,post_secondary,urban,repeated,2018-07-09,male,commerce,0,micro,27.0,23262.0,614400.0,111000,5703,62,,,,0,1.0,64,0,,1,18.3816,18.3816,18.3816,18.3816,18.3816,18.3816,18.3816,18.3816,18.3816,18.3816,18.3816,18.3816,18.3816
27,27,27,chisinau_str._puskin,rapid_loan_75_001_150000_mdl,60000,60000,24,20.0,33.786,8.0,3351.27,fixed,guarantor,0.0,38,0,0,urban,new,2020-01-27,male,commerce,0,micro,,,,,,,,,,,,,,,1,18.0419,18.0419,18.0419,18.0419,18.0419,18.0419,18.0419,18.0419,18.0419,18.0419,18.0419,18.0419,18.0419
28,28,28,balti,rapid_loan_75_001_150000_mdl,100000,100000,24,20.0,36.3888,0.0,5391.09,fixed,mixt,120000.0,48,cohabitation,school,rural,new,2020-05-29,female,agriculture,0,micro,3.0,9098.0,183000.0,124790,9001,0.62,,,,0,0.0,0,0,0.0,1,17.715,17.715,17.715,17.715,17.715,17.715,17.715,17.715,17.715,17.715,17.715,17.715,17.715
29,29,29,edinet,rapid_loan_<=75_000_mdl,25000,25000,3,25.0,52.986,0.0,8762.06,fixed,guarantor,0.0,41,married,school,urban,new,2022-04-27,male,services,0,micro,5.0,,387600.0,175116,2265,16,,,,0,0.0,0,nu_,0.0,1,19.1,19.1,19.1,19.1,19.1,19.1,19.1,19.1,19.1,19.1,19.1,19.1,19.1
30,30,30,balti,rapid_loan_<=75_000_mdl,60000,60000,36,20.0,32.5332,0.0,2538.96,floating,guarantor,0.0,44,married,lyceum,urban,new,2023-11-23,male,commerce,50871.58,micro,5.0,126954.0,453600.0,194891.40000000002,9763,0.6,22997.0,11718.0,35888.0,6,2.0,11,0,0.0,1,17.16,17.16,17.16,17.16,17.16,17.16,17.16,17.16,17.16,17.16,17.16,17.16,17.16
31,31,31,comrat,rapid_loan_75_001_150000_mdl,55000,55000,24,20.0,34.2456,1.0,3084.79,fixed,guarantor,0.0,42,cohabitation,school,urban,new,2021-06-21,female,commerce,0,micro,,,,,,,,,,,,,,,1,17.235,17.235,17.235,17.235,17.235,17.235,17.235,17.235,17.235,17.235,17.235,17.235,17.235
32,32,32,ungheni,rapid_loan_75_001_150000_mdl,100000,100000,36,25.0,37.8744,0.0,4523.71,floating,guarantor,0.0,40,married,post_secondary,rural,new,2023-06-15,male,commerce,77289.73,micro,4.0,100000.0,1008000.0,230664,4505,74,,,,0,0.0,0,0,0.0,0,19.1308,19.1308,19.1308,19.1308,19.1308,19.1308,19.1308,19.1308,19.1308,19.1308,19.1308,19.1308,19.1308
33,33,33,balti,rapid_loan_<=75_000_mdl,60000,60000,12,25.0,44.3736,0.0,6019.59,fixed,guarantor,0.0,39,married,lyceum,rural,new,2022-11-14,female,services,0,micro,12.0,4673.0,1336500.0,227400,6362.08,0.34,199179.0,119195.0,48286.0,0,0.0,67,0,0.0,1,19.4155,19.4155,19.4155,19.4155,19.4155,19.4155,19.4155,19.4155,19.4155,19.4155,19.4155,19.4155,19.4155
34,34,34,balti,rapid_loan_75_001_150000_mdl,100000,100000,36,20.0,32.6796,0.0,4239.52,fixed,guarantor,0.0,37,divorced,post_secondary,urban,new,2021-08-20,female,services,0,micro,1.0,396608.0,1660500.0,342972,16627,58,,,,8,5.0,79,0,0.0,0,17.75,17.75,17.75,17.75,17.75,17.75,17.75,17.75,17.75,17.75,17.75,17.75,17.75
35,35,35,chisinau_strcalea_iesilor,rapid_loan_<=75_000_mdl,15000,15000,12,25.0,42.9672,0.0,1505.05,fixed,guarantor,0.0,45,married,post_secondary,urban,new,2019-12-09,female,services,0,micro,4.0,0.0,0.0,0,1505.04,0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,16.7355,16.7355,16.7355,16.7355,16.7355,16.7355,16.7355,16.7355,16.7355,16.7355,16.7355,16.7355,16.7355
36,36,36,drochia,rapid_loan_<=75_000_mdl,10000,10000,6,25.0,40.1064,0.0,3789.99,fixed,guarantor,0.0,32,married,school,rural,repeated,2020-02-19,male,agriculture,0,micro,6.0,100000.0,230000.0,154000,9238,72,,,,0,1.0,58,0,,1,17.477,17.477,17.477,17.477,17.477,17.477,17.477,17.477,17.477,17.477,17.477,17.477,17.477
37,37,37,balti,rapid_loan_75_001_150000_mdl,100000,100000,36,25.0,34.4964,0.0,4344.26,floating,guarantor,0.0,59,married,school,rural,new,2022-03-31,male,agriculture,30652.45,micro,5.0,124751.58,329025.0,254531.5,9265.33,0.44,,,,0,33.0,27,1,0.0,0,17.2654,17.2654,17.2654,17.2654,17.2654,17.2654,17.2654,17.2654,17.2654,17.2654,17.2654,17.2654,17.2654
38,38,38,edinet,rapid_loan_<=75_000_mdl,21000,21000,24,25.0,39.18,0.0,1231.01,fixed,guarantor,0.0,53,single,school,rural,new,2020-07-07,female,agriculture,0,micro,0.0,20498.0,94700.0,85176,3396,"36,1",,,,0,1.0,23,nu_,,1,18.3822,18.3822,18.3822,18.3822,18.3822,18.3822,18.3822,18.3822,18.3822,18.3822,18.3822,18.3822,18.3822
39,39,39,balti,rapid_loan_<=75_000_mdl,100000,50000,24,25.0,37.8636,0.0,2896.91,fixed,guarantor,0.0,41,married,higher,urban,new,2020-10-05,male,agriculture,0,micro,2.0,76750.0,319200.0,303658,76750,0.02,,,,0,1.0,63,0,0.0,1,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68
40,40,40,edinet,rapid_loan_75_001_150000_mdl,80000,80000,24,22.0,36.3948,0.0,4574.61,fixed,guarantor,0.0,33,married,lyceum,rural,repeated,2021-02-17,female,agriculture,0,micro,0.0,67884.48,1600000.0,93204,4318,56,,,,29,1.0,14,nu_,,1,17.874,17.874,17.874,17.874,17.874,17.874,17.874,17.874,17.874,17.874,17.874,17.874,17.874
41,41,41,drochia,rapid_loan_<=75_000_mdl,20000,20000,12,25.0,42.8124,0.0,2005.2,fixed,guarantor,0.0,62,single,school,urban,new,2018-06-13,female,commerce,0,micro,12.0,0.0,356796.0,41040,2004,59,,,,0,0.0,88,0,,1,17.7244,17.7244,17.7244,17.7244,17.7244,17.7244,17.7244,17.7244,17.7244,17.7244,17.7244,17.7244,17.7244
42,42,42,drochia,rapid_loan_75_001_150000_mdl,60000,60000,24,20.0,34.812,0.0,3382.48,fixed,guarantor,0.0,35,married,post_secondary,urban,repeated,2019-08-02,male,services,0,micro,13.0,11339.0,576000.0,93804,3372,43,,,,0,1.0,98,0,,1,19.1005,19.1005,19.1005,19.1005,19.1005,19.1005,19.1005,19.1005,19.1005,19.1005,19.1005,19.1005,19.1005
43,43,43,balti,rapid_loan_<=75_000_mdl,50000,50000,18,24.0,39.1464,0.0,3637.4,fixed,guarantor,0.0,49,married,school,rural,repeated,2019-11-04,male,agriculture,0,micro,16.0,0.0,135900.0,71900,3637,0.6,0.0,0.0,0.0,0,,17,0,0.0,1,17.578,17.578,17.578,17.578,17.578,17.578,17.578,17.578,17.578,17.578,17.578,17.578,17.578
44,44,44,comrat,rapid_loan_75_001_150000_mdl,55000,55000,21,20.0,31.158,0.0,10582.65,fixed,guarantor,0.0,63,married,school,rural,new,2020-03-12,male,agriculture,0,micro,,,,,,,,,,,,,,,1,17.198,17.198,17.198,17.198,17.198,17.198,17.198,17.198,17.198,17.198,17.198,17.198,17.198
45,45,45,balti,rapid_loan_75_001_150000_mdl,80000,80000,24,20.0,32.1564,0.0,5232.17,fixed,guarantor,0.0,36,married,lyceum,rural,new,2020-02-24,male,services,0,micro,1.0,92956.0,84432.0,122772,7821,0.76,0.0,0.0,0.0,2,1.0,67,0,0.0,1,17.595,17.595,17.595,17.595,17.595,17.595,17.595,17.595,17.595,17.595,17.595,17.595,17.595
46,46,46,drochia,rapid_loan_<=75_000_mdl,50000,50000,22,25.0,34.212,0.0,8934.45,fixed,guarantor,0.0,43,divorced,post_secondary,rural,new,2020-02-27,male,agriculture,0,micro,9.0,106000.0,220000.0,123000,8887.449166666667,87,,,,0,2.0,10,0,,1,9560.8,9560.8,9560.8,9560.8,9560.8,9560.8,9560.8,9560.8,9560.8,9560.8,9560.8,9560.8,9560.8
47,47,47,edinet,rapid_loan_<=75_000_mdl,40000,40000,24,25.0,39.7644,0.0,2352.9,fixed,guarantor,0.0,53,divorced,post_secondary,rural,new,2019-09-11,male,agriculture,0,micro,10.0,147763.0,296896.0,166455,10419,0.75,,,,0,2.0,106_luni,0,0.0,1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
48,48,48,soroca,rapid_loan_75_001_150000_mdl,60000,60000,18,20.0,34.8588,0.0,4176.04,fixed,guarantor,0.0,34,married,school,rural,repeated,2019-11-29,male,agriculture,0,micro,4.0,0.0,136000.0,80000,0,41,,,,0,0.0,54,0,0.0,1,235.37,235.37,235.37,235.37,235.37,235.37,235.37,235.37,235.37,235.37,235.37,235.37,235.37
49,49,49,balti,rapid_loan_75_001_150000_mdl,100000,100000,24,20.0,33.4848,0.0,5735.13,fixed,guarantor,0.0,30,cohabitation,school,rural,new,2018-08-30,male,agriculture,0,micro,9.0,71476.0,705540.0,275795,9796,0.43,0.0,0.0,0.0,2,1.0,60,0,0.0,1,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2
50,50,50,chisinau_strcalea_iesilor,rapid_loan_75_001_150000_mdl,60000,60000,24,20.0,33.702,0.0,3377.09,fixed,guarantor,0.0,35,married,post_secondary,rural,new,2020-10-27,female,commerce,0,micro,10.0,12287.0,201250.0,121250,5470,54,0.0,0.0,0.0,0,1.0,4,0,0.0,1,-7.2,-7.2,-7.2,-7.2,-7.2,-7.2,-7.2,-7.2,-7.2,-7.2,-7.2,-7.2,-7.2
51,51,51,cahul,rapid_loan_<=75_000_mdl,32000,32000,9,25.0,39.0348,5.0,9808.61,fixed,guarantor,0.0,60,married,lyceum,rural,new,2022-03-02,male,agriculture,0,micro,23.0,44659.0,97866.0,97866,7742,0.0791,,,,31,3.0,60,0,178400.0,1,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04
52,52,52,cahul,rapid_loan_75_001_150000_mdl,15000,15000,7,25.0,43.1568,3.0,4391.52,fixed,guarantor,0.0,61,married,lyceum,rural,repeated,2022-05-03,male,agriculture,0,micro,23.0,92532.0,145866.0,121866,11790,0.69,,,,31,5.0,60,0,178400.0,1,-570.32,-570.32,-570.32,-570.32,-570.32,-570.32,-570.32,-570.32,-570.32,-570.32,-570.32,-570.32,-570.32
53,53,53,comrat,rapid_loan_<=75_000_mdl,35000,35000,24,25.0,38.514,0.0,1925.01,fixed,guarantor,0.0,48,divorced,post_secondary,urban,new,2019-01-21,male,agriculture,0,micro,,,,,,,,,,,,,,,1,3250.23,3250.23,3250.23,3250.23,3250.23,3250.23,3250.23,3250.23,3250.23,3250.23,3250.23,3250.23,3250.23
54,54,54,chisinau_str._puskin,rapid_loan_75_001_150000_mdl,60000,60000,18,20.0,35.694,0.0,4200.75,fixed,guarantor,0.0,42,divorced,post_secondary,urban,repeated,2019-06-13,female,commerce,0,micro,,,,,,,,,,,,,,,1,-352.5,-352.5,-352.5,-352.5,-352.5,-352.5,-352.5,-352.5,-352.5,-352.5,-352.5,-352.5,-352.5
55,55,55,balti,rapid_loan_<=75_000_mdl,20000,20000,18,25.0,40.2732,0.0,1445.87,fixed,guarantor,0.0,26,married,post_secondary,rural,new,2020-06-18,female,services,0,micro,1.0,14973.02,129600.0,107643.86,21509,0.7,,,,0,1.0,15,0,0.0,1,18.2205,18.2205,18.2205,18.2205,18.2205,18.2205,18.2205,18.2205,18.2205,18.2205,18.2205,18.2205,18.2205
56,56,56,edinet,rapid_loan_75_001_150000_mdl,150000,150000,35,25.0,35.4948,4.0,16207.34,floating,guarantor,0.0,24,single,higher,rural,new,2023-08-22,male,agriculture,120328.52,small,2.0,0.0,680004.0,326004,6948,0.26,,,,0,0.0,0_luni,0,0.0,1,17.145,17.145,17.145,17.145,17.145,17.145,17.145,17.145,17.145,17.145,17.145,17.145,17.145
57,57,57,edinet,rapid_loan_<=75_000_mdl,35000,35000,18,25.0,41.2188,0.0,2546.92,fixed,guarantor,0.0,42,single,lyceum,rural,new,2018-11-06,female,other,0,micro,1.0,20210.0,82896.0,44496,2532,68,,,,0,0.0,0,0,,1,16.75,16.75,16.75,16.75,16.75,16.75,16.75,16.75,16.75,16.75,16.75,16.75,16.75
58,58,58,edinet,rapid_loan_75_001_150000_mdl,26000,26000,22,20.0,32.4768,0.0,2889.4,fixed,guarantor,0.0,57,married,school,rural,repeated,2021-01-20,female,agriculture,0,micro,10.0,98775.0,780000.0,249876,7072,34,,,,0,3.0,72_luni,0,,1,17.302,17.302,17.302,17.302,17.302,17.302,17.302,17.302,17.302,17.302,17.302,17.302,17.302
59,59,59,edinet,rapid_loan_75_001_150000_mdl,50000,50000,34,25.0,35.0628,5.0,5425.4,floating,guarantor,0.0,59,married,school,rural,repeated,2022-08-26,female,agriculture,19596.48,micro,10.0,143285.32,750000.0,219876,10015,0.55,,,,0,2.0,91_luni,0,0.0,1,16.7665,16.7665,16.7665,16.7665,16.7665,16.7665,16.7665,16.7665,16.7665,16.7665,16.7665,16.7665,16.7665
60,60,60,soroca,rapid_loan_<=75_000_mdl,20000,20000,24,25.0,39.8808,0.0,1179.67,fixed,guarantor,0.0,48,married,school,rural,new,2018-11-05,male,agriculture,0,micro,7.0,11434.0,119400.0,81473,3816,56,,,,0,1.0,96,0,,1,17.775,17.775,17.775,17.775,17.775,17.775,17.775,17.775,17.775,17.775,17.775,17.775,17.775
61,61,61,soroca,rapid_loan_75_001_150000_mdl,30000,30000,24,20.0,33.4224,0.0,1670.1,fixed,guarantor,0.0,49,married,school,rural,repeated,2019-12-31,male,agriculture,0,micro,8.0,,,,,,,,,0,2.0,109,0,,1,17.294,17.294,17.294,17.294,17.294,17.294,17.294,17.294,17.294,17.294,17.294,17.294,17.294
62,62,62,balti,rapid_loan_<=75_000_mdl,50000,50000,24,25.0,38.4696,0.0,2912.57,floating,guarantor,0.0,51,single,school,rural,new,2021-09-21,male,agriculture,0,micro,16.0,551440.0,1097550.0,633730,20900,40,,,,1,4.0,16,2,0.0,1,17.4475,17.4475,17.4475,17.4475,17.4475,17.4475,17.4475,17.4475,17.4475,17.4475,17.4475,17.4475,17.4475
63,63,63,balti,rapid_loan_75_001_150000_mdl,60000,60000,24,27.0,42.6072,0.0,3624.78,floating,guarantor,0.0,53,single,school,rural,repeated,2023-06-30,male,agriculture,36970.8,micro,18.0,725649.0,1547618.0,621273,33785,65,,,,8,8.0,37,2,0.0,1,17.76,17.76,17.76,17.76,17.76,17.76,17.76,17.76,17.76,17.76,17.76,17.76,17.76
64,64,64,balti,rapid_loan_75_001_150000_mdl,42000,42000,24,23.0,37.9824,0.0,2435.99,floating,guarantor,0.0,54,single,school,rural,repeated,2024-05-27,male,agriculture,42000,micro,19.0,591154.0,1616485.0,584550,33509,68.79,,,,16,8.0,48,2,0.0,1,17.597,17.597,17.597,17.597,17.597,17.597,17.597,17.597,17.597,17.597,17.597,17.597,17.597
65,65,65,drochia,rapid_loan_75_001_150000_mdl,85000,85000,36,20.0,32.6868,0.0,3603.87,fixed,guarantor,0.0,36,married,post_secondary,rural,repeated,2019-02-13,female,agriculture,0,micro,10.0,92338.0,188900.0,95632,5768,65,,,,0,2.0,48,1,,1,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5
66,66,66,soroca,rapid_loan_<=75_000_mdl,25000,25000,9,25.0,40.632,0.0,3325.02,fixed,guarantor,0.0,45,married,school,rural,repeated,2018-03-06,male,agriculture,0,micro,10.0,0.0,169000.0,43748,3231,68,,,,0,0.0,63,0,,1,17.649,17.649,17.649,17.649,17.649,17.649,17.649,17.649,17.649,17.649,17.649,17.649,17.649
67,67,67,edinet,rapid_loan_<=75_000_mdl,70000,70000,36,25.0,34.8396,6.0,6490.52,floating,guarantor,0.0,35,married,school,rural,new,2023-10-18,male,agriculture,66006.4,micro,0.0,187931.2,560000.0,243924,14185,70,,,,0,,,,,1,17.44,17.44,17.44,17.44,17.44,17.44,17.44,17.44,17.44,17.44,17.44,17.44,17.44
