,Unnamed: 0.1,Unnamed: 0,branch,product_details,amount,amount_mdl,maturity_months,ir,eir,grace_period,montly_payment,repayment_schedule,guarantees,amount_pledge,ages_of_borrower,social_status,background,urban/rural,type_client_new/repeated,date_disbursement,gender,economic_sector,oustanding_amount,client/credit_segment_retail_micro_sme,experience_in_business_years,other_debts_to_banks_non,annual_sales_volume_mdl,annual_profit_mdl,amount_of_loans_paid_monthly,debt_service_ratio_%,assets_according_to_bs_for,equity_according_to_bs_for,net_profit_acc_to_bs,days_in_arrears_acc_to,how_many_loans_acc_to,duration_of_credit_history_since,existence_of_debt_collection_files/criminal,assets_according_to_public_service,target,Currency,Interest Rate,Inflation Rate,Food Inflation,Consumer Price Index CPI,Balance of Trade,Wages,Unemployment Rate,Remittances,GDP Growth Rate,Current Account,GDP,Government Budget
630,630,630,balti,rapid_loan_<=75_000_mdl,30000,30000,12,25.0,41.8188,0.0,2993.2,fixed,guarantor,0.0,57,divorced,post_secondary,urban,new,2017-12-18,female,commerce,0,micro,,,,,,,,,,,,,,,1,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8
631,631,631,chisinau_str._puskin,rapid_loan_75_001_150000_mdl,100000,100000,36,25.0,36.1092,0.0,4425.48,floating,mixt,72000.0,23,single,higher,urban,new,2022-06-22,female,services,40773.43,micro,,,,,,,,,,,,,,,1,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08
632,632,632,balti,rapid_loan_75_001_150000_mdl,100000,100000,24,20.0,34.326,0.0,5612.81,fixed,guarantor,0.0,28,married,school,rural,new,2019-04-18,male,services,0,micro,,,,,,,,,,,,,,,1,2700.04,2700.04,2700.04,2700.04,2700.04,2700.04,2700.04,2700.04,2700.04,2700.04,2700.04,2700.04,2700.04
633,633,633,drochia,rapid_loan_75_001_150000_mdl,55000,55000,12,20.0,36.384,0.0,5342.22,fixed,guarantor,0.0,30,0,0,rural,new,2019-05-24,male,commerce,0,micro,2.0,221733.0,4672188.0,227880,7194,66,,,,0,2.0,58,0,0.0,1,-344.0,-344.0,-344.0,-344.0,-344.0,-344.0,-344.0,-344.0,-344.0,-344.0,-344.0,-344.0,-344.0
634,634,634,chisinau_str._puskin,rapid_loan_<=75_000_mdl,50000,50000,24,25.0,39.2304,0.0,2932.3,fixed,guarantor,0.0,60,married,lyceum,rural,new,2019-09-13,female,commerce,0,micro,,,,,,,,,,,,,,,1,17.6445,17.6445,17.6445,17.6445,17.6445,17.6445,17.6445,17.6445,17.6445,17.6445,17.6445,17.6445,17.6445
635,635,635,edinet,rapid_loan_75_001_150000_mdl,80000,80000,24,20.0,33.3552,0.0,5256.15,fixed,guarantor,0.0,49,married,lyceum,urban,new,2019-09-23,female,services,0,micro,20.0,51255.0,146016.0,78816,4510,69,,,,0,2.0,99_luni,0,,1,16.532,16.532,16.532,16.532,16.532,16.532,16.532,16.532,16.532,16.532,16.532,16.532,16.532
636,636,636,edinet,rapid_loan_75_001_150000_mdl,100000,100000,36,25.0,34.9092,0.0,4364.45,fixed,guarantor,0.0,36,married,lyceum,rural,new,2022-04-29,female,commerce,0,micro,1.0,65605.0,666000.0,78108,4276,0.66,,,,61+,3.0,11_luni,0,,1,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25
637,637,637,soroca,rapid_loan_75_001_150000_mdl,21000,21000,24,25.0,40.194,0.0,1242.08,floating,guarantor,0.0,41,married,school,rural,repeated,2022-08-09,female,agriculture,0,micro,16.0,9940.0,200200.0,134600,3434,31,,,,0,0.0,4,0,,1,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
638,638,638,drochia,rapid_loan_<=75_000_mdl,50000,50000,19,25.0,38.616,0.0,6707.72,fixed,guarantor,0.0,43,married,school,rural,repeated,2020-05-15,male,agriculture,0,micro,5.0,164312.0,515000.0,430240,17900,67,,,,0,3.0,99,0,0.0,1,8.12,8.12,8.12,8.12,8.12,8.12,8.12,8.12,8.12,8.12,8.12,8.12,8.12
639,639,639,soroca,rapid_loan_<=75_000_mdl,20000,20000,18,25.0,40.92,0.0,1452.36,fixed,guarantor,0.0,40,cohabitation,school,rural,repeated,2020-01-15,male,agriculture,0,micro,15.0,991.0,134400.0,,,,,,,8,1.0,53,0,,1,2625.19,2625.19,2625.19,2625.19,2625.19,2625.19,2625.19,2625.19,2625.19,2625.19,2625.19,2625.19,2625.19
640,640,640,soroca,rapid_loan_<=75_000_mdl,40000,40000,24,25.0,39.4896,0.0,2351.22,fixed,guarantor,0.0,40,cohabitation,school,rural,repeated,2020-06-12,male,agriculture,0,micro,15.0,45000.0,151200.0,,,64.57,,,,8,1.0,59,0,,1,-305.5,-305.5,-305.5,-305.5,-305.5,-305.5,-305.5,-305.5,-305.5,-305.5,-305.5,-305.5,-305.5
641,641,641,chisinau_str._puskin,rapid_loan_75_001_150000_mdl,100000,100000,24,20.0,34.5384,0.0,5623.56,fixed,mixt,50000.0,44,married,lyceum,urban,new,2018-05-04,female,commerce,0,micro,,,,,,,,,,,,,,,1,16.4935,16.4935,16.4935,16.4935,16.4935,16.4935,16.4935,16.4935,16.4935,16.4935,16.4935,16.4935,16.4935
642,642,642,chisinau_str._puskin,rapid_loan_75_001_150000_mdl,100000,100000,24,20.0,36.336,0.0,5418.49,fixed,mixt,60000.0,24,married,higher,urban,new,2019-10-30,female,services,0,micro,,,,,,,,,,,,,,,1,17.6345,17.6345,17.6345,17.6345,17.6345,17.6345,17.6345,17.6345,17.6345,17.6345,17.6345,17.6345,17.6345
643,643,643,soroca,rapid_loan_75_001_150000_mdl,100000,100000,36,20.0,32.4384,0.0,4226.54,fixed,guarantor,0.0,77,single,higher,rural,new,2019-05-24,female,commerce,0,micro,,,,,,,,,,,,,,,1,18.38,18.38,18.38,18.38,18.38,18.38,18.38,18.38,18.38,18.38,18.38,18.38,18.38
644,644,644,soroca,rapid_loan_<=75_000_mdl,65000,65000,36,25.0,37.1976,0.0,2915.98,floating,guarantor,0.0,37,married,lyceum,rural,new,2022-09-20,male,agriculture,32999.81,micro,2.0,18340.0,206400.0,79596,2913,44,,,,0,4.0,96,0,,1,17.5748,17.5748,17.5748,17.5748,17.5748,17.5748,17.5748,17.5748,17.5748,17.5748,17.5748,17.5748,17.5748
645,645,645,soroca,rapid_loan_75_001_150000_mdl,50000,50000,36,23.0,36.0156,0.0,2230.79,floating,guarantor,0.0,38,married,lyceum,rural,repeated,2024-01-04,male,agriculture,47052.07,micro,3.0,64199.0,480000.0,181596,6379,42,,,,0,2.0,100,,,1,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7
646,646,646,soroca,rapid_loan_<=75_000_mdl,10000,10000,12,25.0,44.8476,0.0,996.88,fixed,guarantor,0.0,53,married,school,urban,repeated,2018-02-27,male,commerce,0,micro,17.0,0.0,234000.0,23988,950,48,,,,0,0.0,83,0,0.0,1,16.8771,16.8771,16.8771,16.8771,16.8771,16.8771,16.8771,16.8771,16.8771,16.8771,16.8771,16.8771,16.8771
647,647,647,edinet,rapid_loan_75_001_150000_mdl,60000,60000,24,20.0,34.8744,0.0,3384.39,fixed,guarantor,0.0,42,single,lyceum,rural,new,2019-04-08,female,commerce,0,micro,,,,,,,,,,,,,,,1,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
648,648,648,soroca,rapid_loan_<=75_000_mdl,60000,60000,12,25.0,41.1648,0.0,5967.21,floating,guarantor,0.0,38,married,school,urban,new,2024-03-27,male,commerce,46013.08,micro,7.0,0.0,748800.0,280800,5967,26,,,,8,0.0,279,1,,1,17.0822,17.0822,17.0822,17.0822,17.0822,17.0822,17.0822,17.0822,17.0822,17.0822,17.0822,17.0822,17.0822
649,649,649,comrat,rapid_loan_75_001_150000_mdl,60000,60000,24,20.0,34.3212,0.0,3367.53,fixed,guarantor,0.0,38,married,higher,urban,new,2018-07-13,female,services,0,micro,,,,,,,,,,,,,,,1,17.6145,17.6145,17.6145,17.6145,17.6145,17.6145,17.6145,17.6145,17.6145,17.6145,17.6145,17.6145,17.6145
650,650,650,orhei,rapid_loan_75_001_150000_mdl,90000,90000,18,25.0,40.7652,0.0,6528.67,floating,collateral,90000.0,35,single,lyceum,rural,new,2023-07-03,male,agriculture,39092.21,micro,2.0,62222.0,587500.0,249128,6544,0.31521145756398317,0.0,0.0,0.0,31,1.0,42,da,0.0,1,19.1465,19.1465,19.1465,19.1465,19.1465,19.1465,19.1465,19.1465,19.1465,19.1465,19.1465,19.1465,19.1465
651,651,651,soroca,rapid_loan_75_001_150000_mdl,70000,70000,24,20.0,31.6116,0.0,4095.06,fixed,guarantor,0.0,40,married,school,urban,new,2019-12-13,female,industry,0,micro,,,,,,,,,,,,,,,1,16.26,16.26,16.26,16.26,16.26,16.26,16.26,16.26,16.26,16.26,16.26,16.26,16.26
652,652,652,comrat,rapid_loan_<=75_000_mdl,10500,10500,24,25.0,40.0272,0.0,612.02,fixed,guarantor,0.0,50,married,post_secondary,rural,new,2019-03-28,female,other,0,micro,,,,,,,,,,,,,,,1,13.97,13.97,13.97,13.97,13.97,13.97,13.97,13.97,13.97,13.97,13.97,13.97,13.97
653,653,653,balti,rapid_loan_75_001_150000_mdl,150000,150000,33,28.0,39.0636,0.0,16615.63,floating,guarantor,0.0,59,married,school,rural,new,2023-03-07,male,agriculture,104453.13,small,30.0,26526.0,630116.0,431933,7129,20.43,,,,0,1.0,85,0,0.0,1,4070.36,4070.36,4070.36,4070.36,4070.36,4070.36,4070.36,4070.36,4070.36,4070.36,4070.36,4070.36,4070.36
654,654,654,edinet,rapid_loan_75_001_150000_mdl,100000,100000,36,22.0,34.3092,0.0,4327.66,floating,guarantor,0.0,36,married,post_secondary,rural,repeated,2024-02-20,male,agriculture,91608.93,micro,6.0,56881.39,422100.0,193260,9464,0.59,,,,91+,2.0,105_luni,0,,1,-372.7,-372.7,-372.7,-372.7,-372.7,-372.7,-372.7,-372.7,-372.7,-372.7,-372.7,-372.7,-372.7
655,655,655,balti,rapid_loan_75_001_150000_mdl,100000,100000,35,25.0,33.3264,8.0,13722.64,floating,guarantor,0.0,48,married,school,rural,new,2023-01-30,male,agriculture,69866.02,micro,8.0,316844.0,438250.0,267338,14291.16,0.64,,,,0,1.0,63,0,0.0,1,17.7022,17.7022,17.7022,17.7022,17.7022,17.7022,17.7022,17.7022,17.7022,17.7022,17.7022,17.7022,17.7022
656,656,656,balti,rapid_loan_75_001_150000_mdl,70000,70000,24,20.0,34.9188,0.0,3950.05,fixed,guarantor,0.0,29,cohabitation,school,rural,new,2018-10-22,male,agriculture,0,micro,,,,,,,,,,,,,,,0,17.0622,17.0622,17.0622,17.0622,17.0622,17.0622,17.0622,17.0622,17.0622,17.0622,17.0622,17.0622,17.0622
657,657,657,edinet,rapid_loan_75_001_150000_mdl,76000,76000,24,20.0,28.1604,8.0,13411.03,fixed,guarantor,0.0,23,married,lyceum,rural,new,2020-11-25,female,agriculture,0,micro,7.0,162731.26,329000.0,237800,13076,66,,,,3,5.0,0,,,1,17.395,17.395,17.395,17.395,17.395,17.395,17.395,17.395,17.395,17.395,17.395,17.395,17.395
